ID_Funcionario,Nome,Departamento,Cargo,Salario,Data_Contratacao,Genero,Idade,Nivel_Educacao,Avaliacao_Desempenho,Satisfacao_Trabalho,Horas_Treinamento,Status_Turnover,Distancia_Casa_Trabalho_KM,Fez_Hora_Extra
EMP_1001,Funcionário 1,Operações,Supervisor,"R$ 7506,00",24/02/2016,Masculino,56,Graduação,4.0,,29,Ativo,36,Sim
EMP_1002,Funcionário 2,Operações,Logística,"R$ 9873,00",27/01/2015,Outro,32,Ensino Médio,3.0,2.0,11,Desligado,7,Não
EMP_1003,Funcionário 3,TI,Arquiteto de Soluções,"R$ 3711,00",31/03/2019,Feminino,40,Ensino Médio,5.0,3.0,5,Ativo,50,Não
EMP_1004,Funcionário 4,Recursos Humanos,Analista de RH,"R$ 9227,00",03/02/2019,Feminino,44,Doutorado,3.0,1.0,93,Ativo,11,Não
EMP_1005,Funcionário 5,Marketing,Social Media,"R$ 13485,00",21/08/2018,Outro,25,Ensino Médio,1.0,4.0,27,Desligado,14,Não
EMP_1006,Funcionário 6,Marketing,Designer,"R$ 7339,00",16/01/2021,Feminino,59,Doutorado,5.0,2.0,63,Ativo,49,Sim
EMP_1007,Funcionário 7,Recursos Humanos,Analista de RH,"R$ 14149,00",13/04/2019,Masculino,51,Doutorado,5.0,1.0,96,Desligado,50,Não
EMP_1008,Funcionário 8,Recursos Humanos,Gerente de RH,10433,26/01/2023,Feminino,54,Graduação,5.0,3.0,47,Ativo,35,Sim
EMP_1009,Funcionário 9,Financeiro,Contador,"R$ 4832,00",13/06/2018,Não informado,37,Ensino Médio,1.0,,97,Ativo,9,Não
EMP_1010,Funcionário 10,Financeiro,Analista Financeiro,"R$ 12938,00",17/01/2021,Não informado,-5,Doutorado,4.0,3.0,57,Ativo,16,Sim
EMP_1011,Funcionário 11,Recursso Humanos,Gerente de RH,"R$ 12075,00",18/10/2015,Feminino,25,Pós-Graduação,1.0,1.0,85,Desligado,14,Sim
EMP_1012,Funcionário 12,Operações,Logística,"R$ 6981,00",18/02/2017,Masculino,49,Ensino Médio,4.0,1.0,51,Desligado,7,Sim
EMP_1013,Funcionário 13,Vendas,Consultor de Vendas,"R$ 5296,00",20/10/2017,Masculino,26,Ensino Médio,5.0,,96,Ativo,11,Não
EMP_1014,Funcionário 14,Marketing,Social Media,"R$ 9570,00",09/01/2015,Não informado,38,Graduação,4.0,5.0,24,Desligado,14,Sim
EMP_1015,Funcionário 15,Financeiro,Tesoureiro,8138,21/08/2020,Feminino,55,Ensino Médio,5.0,,76,Ativo,44,Sim
EMP_1016,Funcionário 16,Marketing,Analista de Marketing,"R$ 12333,00",11/12/2021,Outro,59,Graduação,3.0,2.0,33,Desligado,9,Não
EMP_1017,Funcionário 17,Marketing,Social Media,4188,25/04/2021,Masculino,26,Graduação,5.0,3.0,47,Desligado,11,Não
EMP_1018,Funcionário 18,Financeiro,Tesoureiro,"R$ 13714,00",21/03/2021,Feminino,28,Pós-Graduação,2.0,1.0,36,Ativo,46,Não
EMP_1019,Funcionário 19,Vendas,SDR,"R$ 7325,00",28/07/2015,Feminino,49,Pós-Graduação,1.0,,20,Desligado,36,Não
EMP_1020,Funcionário 20,Financeiro,Analista Financeiro,"R$ 14321,00",21/02/2019,Outro,31,Graduação,1.0,1.0,87,Ativo,43,Sim
EMP_1021,Funcionário 21,TI,Arquiteto de Soluções,"R$ 9658,00",27/08/2017,Não informado,33,Graduação,1.0,3.0,34,Ativo,45,Sim
EMP_1022,Funcionário 22,Marketing,Analista de Marketing,"R$ 6644,00",03/12/2018,Masculino,36,Pós-Graduação,2.0,3.0,44,Desligado,44,Não
EMP_1023,Funcionário 23,Recursos Humanos,Analista de RH,"R$ 7279,00",2017-12-23,Masculino,60,Mestrado,3.0,5.0,73,Ativo,17,Sim
EMP_1024,Funcionário 24,Operações,Operador,"R$ 11821,00",07/04/2023,Outro,45,Doutorado,3.0,1.0,39,Desligado,21,Não
EMP_1025,Funcionário 25,Operações,Operador,"R$ 6143,00",06/08/2022,Outro,33,Pós-Graduação,3.0,1.0,26,Desligado,38,Não
EMP_1026,Funcionário 26,Marketing,Social Media,"R$ 6501,00",05/12/2023,Outro,27,Graduação,5.0,2.0,25,Ativo,2,Sim
EMP_1027,Funcionário 27,Vendas,Gerente de Vendas,"R$ 4193,00",15/06/2021,Masculino,46,Mestrado,2.0,1.0,28,Ativo,45,Não
EMP_1028,Funcionário 28,Recursos Humanos,Assistente,"R$ 4988,00",27/06/2022,Não informado,57,Doutorado,4.0,5.0,57,Ativo,48,Não
EMP_1029,Funcionário 29,Marketing,Social Media,"R$ 13447,00",07/06/2020,Outro,39,Doutorado,3.0,3.0,10,Ativo,10,Sim
EMP_1030,Funcionário 30,Marketing,Designer,6505,31/01/2021,Masculino,25,Doutorado,4.0,5.0,48,Desligado,1,Não
EMP_1031,Funcionário 31,TI,Suporte Técnico,"R$ 9865,00",21/12/2023,Não informado,36,Pós-Graduação,3.0,1.0,85,Desligado,47,Sim
EMP_1032,Funcionário 32,Marketing,Analista de Marketing,11751,30/04/2021,Masculino,27,Pós-Graduação,2.0,2.0,48,Desligado,14,Não
EMP_1033,Funcionário 33,TI,Suporte Técnico,"R$ 9211,00",23/09/2019,Outro,27,Graduação,5.0,,83,Ativo,50,Sim
EMP_1034,Funcionário 34,Recursos Humanos,Analista de RH,"R$ 3333,00",23/04/2020,Feminino,58,Doutorado,4.0,3.0,77,Ativo,50,Sim
EMP_1035,Funcionário 35,TI,Desenvolvedor,"R$ 8111,00",18/03/2019,Masculino,34,Pós-Graduação,,2.0,87,Ativo,37,Sim
EMP_1036,Funcionário 36,TI,Arquiteto de Soluções,9071,21/02/2015,Feminino,53,Mestrado,3.0,4.0,22,Desligado,40,Não
EMP_1037,Funcionário 37,Marketing,Social Media,"R$ 12707,00",21/12/2015,Outro,50,Ensino Médio,4.0,4.0,63,Desligado,12,Não
EMP_1038,Funcionário 38,Vendas,Gerente de Vendas,"R$ 8576,00",05/02/2018,Não informado,55,Doutorado,1.0,4.0,97,Ativo,45,Não
EMP_1039,Funcionário 39,Operações,Logística,3282,04/10/2022,Outro,59,Pós-Graduação,5.0,4.0,89,Desligado,18,Não
EMP_1040,Funcionário 40,TI,Desenvolvedor,"R$ 6155,00",19/07/2023,Outro,34,Ensino Médio,4.0,5.0,24,Desligado,15,Não
EMP_1041,Funcionário 41,Vendas,Gerente de Vendas,,12/08/2015,Outro,30,Mestrado,4.0,1.0,61,Desligado,22,Sim
EMP_1042,Funcionário 42,Recursos Humanos,Gerente de RH,"R$ 10827,00",07/07/2020,Feminino,25,Ensino Médio,5.0,1.0,71,Desligado,39,Sim
EMP_1043,Funcionário 43,Financeiro,Contador,"R$ 10253,00",23/10/2019,Feminino,25,Pós-Graduação,1.0,2.0,84,Ativo,11,Sim
EMP_1044,Funcionário 44,Vendas,SDR,"R$ 3043,00",08/04/2020,Masculino,36,Graduação,3.0,4.0,33,Ativo,28,Sim
EMP_1045,Funcionário 45,Financeiro,Analista Financeiro,"R$ 7352,00",10/11/2016,Masculino,60,Mestrado,5.0,4.0,88,Desligado,45,Não
EMP_1046,Funcionário 46,TI,Arquiteto de Soluções,,05/11/2019,Masculino,60,Pós-Graduação,1.0,5.0,73,Ativo,49,Sim
EMP_1047,Funcionário 47,Marketing,Designer,"R$ 7557,00",13/02/2022,Feminino,27,Pós-Graduação,4.0,1.0,52,Desligado,19,Não
EMP_1048,Funcionário 48,Financeiro,Analista Financeiro,"R$ 8153,00",31/08/2023,Não informado,54,Mestrado,1.0,5.0,6,Ativo,34,Não
EMP_1049,Funcionário 49,Financeiro,Contador,"R$ 3845,00",25/03/2018,Outro,53,Doutorado,5.0,2.0,1,Desligado,6,Sim
EMP_1049,Funcionário 50,Recursos Humanos,Gerente de RH,"R$ 13612,00",14/01/2023,Não informado,39,Doutorado,4.0,2.0,18,Desligado,13,Sim
EMP_1051,Funcionário 51,Recursos Humanos,Gerente de RH,"R$ 9798,00",30/12/2017,Feminino,40,Mestrado,5.0,4.0,68,Desligado,23,Não
EMP_1052,Funcionário 52,Financeiro,Tesoureiro,"R$ 8272,00",05/09/2017,Não informado,36,Mestrado,4.0,,49,Ativo,32,Sim
EMP_1053,Funcionário 53,Vendas,SDR,"R$ 8439,00",09/12/2019,Masculino,51,Mestrado,,2.0,100,Desligado,22,Não
EMP_1054,Funcionário 54,Operações,Supervisor,"R$ 14048,00",21/07/2018,Outro,53,Graduação,1.0,2.0,95,Ativo,28,Sim
EMP_1055,Funcionário 55,Operações,Logística,"R$ 10269,00",2015-04-29,Não informado,25,Doutorado,3.0,2.0,87,Ativo,11,Sim
EMP_1056,Funcionário 56,Recursos Humanos,Assistente,"R$ 13153,00",16/07/2021,Não informado,51,Pós-Graduação,4.0,1.0,86,Ativo,5,Não
EMP_1057,Funcionário 57,TI,Arquiteto de Soluções,"R$ 9951,00",22/05/2018,Outro,46,Doutorado,1.0,5.0,37,Desligado,2,Não
EMP_1058,Funcionário 58,TI,Desenvolvedor,"R$ 14236,00",19/10/2021,Feminino,40,Graduação,2.0,3.0,79,Desligado,44,Sim
EMP_1059,Funcionário 59,Operações,Supervisor,13589,17/05/2015,Feminino,30,Graduação,3.0,4.0,16,Desligado,34,Não
EMP_1060,Funcionário 60,Vendas,Gerente de Vendas,"R$ 10894,00",19/10/2018,Não informado,51,Doutorado,2.0,2.0,46,Ativo,26,Sim
EMP_1061,Funcionário 61,TI,Arquiteto de Soluções,"R$ 9038,00",22/07/2021,Outro,45,Doutorado,2.0,5.0,28,Ativo,41,Não
EMP_1062,Funcionário 62,Operações,Operador,"R$ 4911,00",31/05/2018,Outro,29,Doutorado,5.0,4.0,53,Ativo,27,Sim
EMP_1063,Funcionário 63,Marketing,Designer,7583,22/12/2019,Outro,37,Ensino Médio,1.0,3.0,50,Desligado,13,Sim
EMP_1064,Funcionário 64,Marketing,Analista de Marketing,"R$ 13513,00",27/07/2015,Feminino,37,Doutorado,5.0,5.0,27,Ativo,22,Sim
EMP_1065,Funcionário 65,Financeiro,Analista Financeiro,"R$ 5370,00",15/12/2023,Outro,23,Ensino Médio,3.0,2.0,22,Desligado,4,Sim
EMP_1066,Funcionário 66,Operações,Operador,"R$ 4041,00",03/10/2020,Outro,50,Mestrado,5.0,,82,Ativo,4,Não
EMP_1067,Funcionário 67,Marketing,Social Media,"R$ 11032,00",27/11/2015,Outro,31,Mestrado,,5.0,76,Desligado,30,Não
EMP_1068,Funcionário 68,Recursos Humanos,Assistente,"R$ 13726,00",31/01/2023,Não informado,49,Mestrado,2.0,4.0,93,Ativo,21,Não
EMP_1069,Funcionário 69,TI,Arquiteto de Soluções,"R$ 5500,00",09/01/2016,Masculino,27,Doutorado,3.0,5.0,71,Desligado,43,Sim
EMP_1070,Funcionário 70,Marketing,Social Media,"R$ 9929,00",24/03/2018,Feminino,44,Ensino Médio,5.0,4.0,44,Desligado,8,Não
EMP_1071,Funcionário 71,Financeiro,Analista Financeiro,"R$ 12190,00",18/11/2021,Masculino,57,Graduação,,3.0,34,Desligado,22,Não
EMP_1072,Funcionário 72,Recursos Humanos,Analista de RH,"R$ 12278,00",24/04/2023,Não informado,23,Pós-Graduação,5.0,4.0,20,Desligado,20,Não
EMP_1073,Funcionário 73,Financeiro,Tesoureiro,"R$ 3861,00",23/07/2015,Não informado,39,Pós-Graduação,4.0,4.0,27,Ativo,23,Não
EMP_1074,Funcionário 74,Recursos Humanos,Gerente de RH,"R$ 12717,00",06/07/2015,Feminino,60,Pós-Graduação,,2.0,37,Desligado,8,Sim
EMP_1075,Funcionário 75,Marketing,Designer,"R$ 5116,00",11/08/2020,Não informado,44,Ensino Médio,,1.0,58,Ativo,21,Não
EMP_1076,Funcionário 76,Financeiro,Contador,"R$ 9843,00",23/08/2018,Masculino,51,Graduação,3.0,,55,Desligado,34,Sim
EMP_1077,Funcionário 77,Marketing,Social Media,"R$ 6630,00",21/09/2020,Feminino,55,Ensino Médio,3.0,2.0,18,Desligado,13,Sim
EMP_1078,Funcionário 78,Financeiro,Analista Financeiro,13739,16/01/2022,Outro,58,Pós-Graduação,4.0,5.0,19,Desligado,5,Não
EMP_1079,Funcionário 79,Marketing,Designer,"R$ 7500,00",31/10/2015,Masculino,50,Ensino Médio,,3.0,78,Desligado,30,Sim
EMP_1080,Funcionário 80,Marketing,Designer,"R$ 8267,00",11/09/2015,Masculino,43,Graduação,1.0,2.0,90,Desligado,29,Sim
EMP_1081,Funcionário 81,TI,Suporte Técnico,"R$ 9347,00",14/09/2021,Não informado,43,Pós-Graduação,,,32,Ativo,22,Sim
EMP_1082,Funcionário 82,Financeiro,Tesoureiro,"R$ 8731,00",05/06/2022,Outro,60,Graduação,1.0,4.0,85,Ativo,42,Não
EMP_1083,Funcionário 83,Financeiro,Contador,"R$ 8060,00",05/08/2023,Masculino,36,Doutorado,2.0,,98,Ativo,43,Não
EMP_1084,Funcionário 84,Financeiro,Analista Financeiro,"R$ 5527,00",25/08/2023,Não informado,32,Doutorado,1.0,2.0,36,Desligado,15,Sim
EMP_1085,Funcionário 85,TI,Suporte Técnico,"R$ 6178,00",10/12/2019,Feminino,40,Doutorado,5.0,2.0,17,Desligado,4,Não
EMP_1086,Funcionário 86,TI,Arquiteto de Soluções,"R$ 14655,00",13/03/2018,Masculino,32,Graduação,5.0,4.0,57,Desligado,2,Não
EMP_1087,Funcionário 87,Recursos Humanos,Gerente de RH,"R$ 6862,00",2017-07-08,Masculino,28,Pós-Graduação,3.0,2.0,60,Ativo,49,Não
EMP_1088,Funcionário 88,Marketing,Designer,4298,04/09/2016,Outro,60,Ensino Médio,1.0,2.0,6,Ativo,27,Não
EMP_1089,Funcionário 89,Recursos Humanos,Analista de RH,,11/10/2020,Não informado,31,Graduação,1.0,2.0,85,Ativo,34,Não
EMP_1090,Funcionário 90,Recursos Humanos,Assistente,"R$ 11316,00",2020-04-09,Masculino,46,Pós-Graduação,3.0,3.0,30,Ativo,50,Não
EMP_1091,Funcionário 91,Vendas,Consultor de Vendas,"R$ 8546,00",27/09/2023,Não informado,52,Ensino Médio,2.0,,37,Ativo,3,Sim
EMP_1092,Funcionário 92,Recursos Humanos,Gerente de RH,"R$ 11444,00",23/04/2020,Outro,34,Ensino Médio,1.0,3.0,47,Desligado,26,Não
EMP_1093,Funcionário 93,Marketing,Social Media,"R$ 11129,00",10/12/2023,Outro,27,Pós-Graduação,1.0,2.0,13,Ativo,21,Não
EMP_1094,Funcionário 94,TI,Suporte Técnico,"R$ 9981,00",2020-01-06,Masculino,44,Mestrado,4.0,1.0,46,Ativo,2,Sim
EMP_1095,Funcionário 95,Financeiro,Tesoureiro,"R$ 3570,00",27/03/2022,Outro,46,Pós-Graduação,1.0,4.0,56,Ativo,37,Sim
EMP_1096,Funcionário 96,Financeiro,Contador,"R$ 13642,00",17/04/2015,Não informado,53,Graduação,5.0,3.0,78,Desligado,45,Não
EMP_1097,Funcionário 97,Vendas,Consultor de Vendas,"R$ 4213,00",29/12/2019,Outro,42,Graduação,1.0,3.0,91,Ativo,24,Sim
EMP_1098,Funcionário 98,Recursos Humanos,Analista de RH,,19/03/2021,Masculino,51,Pós-Graduação,5.0,1.0,50,Desligado,34,Não
EMP_1099,Funcionário 99,Marketing,Designer,"R$ 8194,00",17/08/2022,Feminino,30,Mestrado,5.0,2.0,64,Ativo,8,Sim
EMP_1100,Funcionário 100,TI,Desenvolvedor,"R$ 14621,00",26/10/2020,Masculino,150,Doutorado,5.0,3.0,82,Ativo,38,Sim
EMP_1101,Funcionário 101,Vendas,SDR,"R$ 12914,00",18/06/2015,Não informado,23,Doutorado,5.0,2.0,81,Ativo,32,Não
EMP_1102,Funcionário 102,Operações,Operador,"R$ 14222,00",21/09/2022,Feminino,50,Pós-Graduação,4.0,5.0,91,Desligado,47,Não
EMP_1103,Funcionário 103,Marketing,Analista de Marketing,"R$ 11437,00",25/03/2020,Não informado,50,Doutorado,1.0,,53,Ativo,11,Não
EMP_1104,Funcionário 104,Financeiro,Tesoureiro,"R$ 5610,00",04/08/2020,Não informado,53,Graduação,,5.0,27,Desligado,4,Sim
EMP_1105,Funcionário 105,TI,Suporte Técnico,"R$ 13719,00",03/02/2015,Outro,49,Ensino Médio,3.0,4.0,51,Ativo,37,Sim
EMP_1106,Funcionário 106,TI,Arquiteto de Soluções,"R$ 9329,00",19/02/2018,Outro,29,Graduação,1.0,3.0,25,Desligado,33,Sim
EMP_1107,Funcionário 107,Recursos Humanos,Analista de RH,"R$ 8456,00",02/09/2016,Outro,54,Doutorado,5.0,4.0,43,Desligado,46,Não
EMP_1108,Funcionário 108,Marketing,Analista de Marketing,"R$ 14039,00",14/06/2018,Feminino,23,Ensino Médio,3.0,5.0,74,Desligado,11,Não
EMP_1109,Funcionário 109,Vendas,SDR,"R$ 12380,00",19/03/2015,Não informado,48,Ensino Médio,2.0,5.0,90,Ativo,34,Sim
EMP_1110,Funcionário 110,Financeiro,Contador,"R$ 10837,00",10/12/2016,Não informado,56,Graduação,3.0,3.0,31,Desligado,36,Não
EMP_1111,Funcionário 111,Vendas,Gerente de Vendas,"R$ 14549,00",22/07/2018,Não informado,57,Mestrado,3.0,5.0,44,Ativo,19,Sim
EMP_1112,Funcionário 112,TI,Arquiteto de Soluções,"R$ 10247,00",26/05/2017,Masculino,56,Doutorado,5.0,2.0,94,Ativo,16,Sim
EMP_1113,Funcionário 113,Operações,Logística,6814,17/01/2023,Não informado,30,Mestrado,,2.0,61,Ativo,49,Não
EMP_1114,Funcionário 114,TI,Suporte Técnico,"R$ 4465,00",14/04/2023,Masculino,24,Mestrado,2.0,2.0,100,Desligado,12,Não
EMP_1115,Funcionário 115,Recursos Humanos,Analista de RH,"R$ 12875,00",11/03/2018,Outro,56,Graduação,2.0,4.0,14,Desligado,11,Não
EMP_1116,Funcionário 116,Operações,Operador,"R$ 3230,00",14/05/2021,Outro,34,Ensino Médio,4.0,5.0,51,Ativo,12,Sim
EMP_1117,Funcionário 117,Marketing,Social Media,"R$ 3111,00",15/06/2023,Outro,43,Graduação,5.0,,7,Ativo,30,Não
EMP_1118,Funcionário 118,Vendas,Gerente de Vendas,"R$ 14527,00",01/03/2022,Não informado,40,Graduação,2.0,2.0,58,Desligado,27,Não
EMP_1119,Funcionário 119,Financeiro,Tesoureiro,"R$ 7054,00",31/10/2023,Masculino,50,Ensino Médio,3.0,,70,Ativo,37,Sim
EMP_1120,Funcionário 120,Vendas,Gerente de Vendas,"R$ 10239,00",16/07/2021,Não informado,54,Mestrado,1.0,5.0,72,Ativo,36,Não
EMP_1121,Funcionário 121,Operações,Operador,,11/06/2017,Masculino,24,Mestrado,1.0,1.0,4,Desligado,27,Sim
EMP_1122,Funcionário 122,Vendas,SDR,"R$ 13582,00",16/04/2019,Masculino,46,Graduação,5.0,3.0,68,Desligado,34,Sim
EMP_1123,Funcionário 123,Operações,Supervisor,"R$ 3372,00",24/01/2023,Feminino,56,Pós-Graduação,2.0,3.0,24,Ativo,3,Não
EMP_1124,Funcionário 124,Financeiro,Analista Financeiro,,14/09/2021,Feminino,25,Ensino Médio,1.0,2.0,17,Desligado,15,Não
