ID_Funcionario,Nome,Departamento,Cargo,Salario,Data_Contratacao,Genero,Idade,Nivel_Educacao,Avaliacao_Desempenho,Satisfacao_Trabalho,Horas_Treinamento,Status_Turnover,Distancia_Casa_Trabalho_KM,Fez_Hora_Extra
EMP_1125,Funcionário 125,Financeiro,Tesoureiro,"R$ 8253,00",28/05/2022,Feminino,48,Mestrado,1.0,5.0,71,Desligado,4,Não
EMP_1126,Funcionário 126,Operações,Logística,"R$ 11592,00",03/09/2016,Outro,33,Graduação,4.0,2.0,59,Ativo,36,Não
EMP_1127,Funcionário 127,Marketing,Designer,"R$ 9363,00",02/04/2022,Masculino,50,Pós-Graduação,1.0,2.0,48,Ativo,5,Sim
EMP_1128,Funcionário 128,Financeiro,Tesoureiro,"R$ 6555,00",25/09/2018,Não informado,22,Graduação,2.0,1.0,89,Ativo,26,Sim
EMP_1129,Funcionário 129,Financeiro,Contador,"R$ 9236,00",17/06/2018,Não informado,54,Pós-Graduação,4.0,,26,Desligado,21,Não
EMP_1130,Funcionário 130,Recursos Humanos,Assistente,5390,20/07/2021,Feminino,48,Mestrado,2.0,4.0,70,Desligado,17,Não
EMP_1131,Funcionário 131,Operações,Logística,"R$ 10550,00",24/11/2016,Masculino,56,Ensino Médio,5.0,1.0,85,Ativo,49,Sim
EMP_1132,Funcionário 132,Marketing,Analista de Marketing,6791,14/06/2017,Não informado,45,Mestrado,,5.0,2,Ativo,35,Não
EMP_1133,Funcionário 133,Recursos Humanos,Analista de RH,"R$ 7501,00",19/08/2020,Feminino,49,Graduação,2.0,1.0,24,Desligado,23,Não
EMP_1134,Funcionário 134,Marketing,Analista de Marketing,"R$ 9652,00",26/10/2022,Não informado,27,Mestrado,1.0,,70,Desligado,4,Sim
EMP_1135,Funcionário 135,Operações,Supervisor,"R$ 10109,00",26/01/2016,Masculino,24,Pós-Graduação,5.0,1.0,69,Ativo,12,Não
EMP_1136,Funcionário 136,Recursos Humanos,Analista de RH,"R$ 14677,00",10/05/2018,Outro,37,Mestrado,4.0,5.0,96,Ativo,45,Sim
EMP_1137,Funcionário 137,Financeiro,Tesoureiro,3879,08/11/2015,Outro,60,Mestrado,3.0,,62,Ativo,23,Não
EMP_1138,Funcionário 138,Marketing,Analista de Marketing,"R$ 13824,00",24/04/2018,Não informado,26,Pós-Graduação,2.0,2.0,46,Ativo,6,Sim
EMP_1139,Funcionário 139,TI,Suporte Técnico,"R$ 7419,00",01/11/2019,Outro,57,Doutorado,1.0,,11,Desligado,25,Sim
EMP_1140,Funcionário 140,TI,Suporte Técnico,"R$ 4387,00",21/09/2017,Outro,32,Mestrado,2.0,3.0,18,Ativo,11,Não
EMP_1141,Funcionário 141,TI,Suporte Técnico,"R$ 4260,00",31/01/2023,Masculino,60,Mestrado,4.0,3.0,42,Desligado,22,Não
EMP_1142,Funcionário 142,TI,Suporte Técnico,"R$ 13666,00",06/08/2018,Outro,34,Mestrado,2.0,3.0,73,Ativo,21,Não
EMP_1143,Funcionário 143,TI,Suporte Técnico,"R$ 12238,00",06/01/2017,Não informado,57,Pós-Graduação,,2.0,88,Ativo,27,Não
EMP_1144,Funcionário 144,Vendas,SDR,"R$ 7139,00",07/11/2023,Não informado,50,Doutorado,4.0,5.0,4,Desligado,45,Sim
EMP_1145,Funcionário 145,Recursos Humanos,Analista de RH,"R$ 8816,00",25/04/2021,Masculino,47,Ensino Médio,3.0,4.0,12,Desligado,15,Sim
EMP_1146,Funcionário 146,Marketing,Social Media,"R$ 14133,00",13/11/2018,Masculino,52,Graduação,4.0,1.0,44,Desligado,22,Não
EMP_1147,Funcionário 147,Vendas,SDR,10801,28/01/2020,Outro,41,Ensino Médio,,1.0,86,Ativo,48,Sim
EMP_1148,Funcionário 148,Financeiro,Analista Financeiro,"R$ 8422,00",07/08/2017,Feminino,33,Mestrado,4.0,5.0,75,Desligado,25,Sim
EMP_1149,Funcionário 149,Operações,Supervisor,"R$ 14530,00",21/02/2016,Outro,56,Mestrado,3.0,1.0,67,Desligado,39,Não
EMP_1150,Funcionário 150,Financeiro,Contador,"R$ 8700,00",07/12/2016,Feminino,41,Pós-Graduação,5.0,,15,Ativo,20,Sim
EMP_1151,Funcionário 151,Vendas,Gerente de Vendas,"R$ 11369,00",12/06/2021,Feminino,33,Mestrado,5.0,2.0,36,Ativo,12,Não
EMP_1152,Funcionário 152,Marketing,Designer,"R$ 8882,00",10/03/2017,Não informado,57,Mestrado,4.0,4.0,62,Ativo,6,Sim
EMP_1153,Funcionário 153,Vendas,Gerente de Vendas,"R$ 6683,00",17/02/2020,Outro,53,Doutorado,1.0,3.0,96,Ativo,49,Não
EMP_1154,Funcionário 154,Financeiro,Analista Financeiro,"R$ 4677,00",10/10/2017,Não informado,24,Ensino Médio,3.0,1.0,99,Ativo,14,Não
EMP_1155,Funcionário 155,Operações,Logística,"R$ 5719,00",27/04/2017,Outro,58,Pós-Graduação,3.0,2.0,37,Desligado,33,Sim
EMP_1156,Funcionário 156,Vendas,Gerente de Vendas,"R$ 7543,00",27/06/2016,Outro,42,Mestrado,4.0,5.0,48,Desligado,5,Sim
EMP_1157,Funcionário 157,Marketing,Designer,"R$ 14382,00",22/06/2020,Outro,22,Ensino Médio,1.0,4.0,68,Desligado,14,Não
EMP_1158,Funcionário 158,Vendas,Gerente de Vendas,"R$ 7646,00",07/05/2021,Não informado,43,Ensino Médio,1.0,,15,Ativo,29,Não
EMP_1159,Funcionário 159,Recursos Humanos,Gerente de RH,"R$ 14281,00",21/05/2018,Feminino,39,Ensino Médio,3.0,3.0,50,Desligado,47,Sim
EMP_1160,Funcionário 160,Marketing,Designer,4559,27/06/2016,Outro,55,Ensino Médio,1.0,,54,Ativo,31,Sim
EMP_1161,Funcionário 161,Vendas,Gerente de Vendas,"R$ 4678,00",10/05/2018,Masculino,30,Doutorado,2.0,,83,Ativo,29,Não
EMP_1162,Funcionário 162,Operações,Supervisor,"R$ 5480,00",18/12/2019,Não informado,27,Pós-Graduação,2.0,5.0,54,Desligado,9,Sim
EMP_1163,Funcionário 163,TI,Arquiteto de Soluções,"R$ 12066,00",13/03/2018,Feminino,23,Mestrado,3.0,5.0,37,Ativo,16,Não
EMP_1164,Funcionário 164,Marketing,Analista de Marketing,"R$ 13454,00",19/02/2015,Feminino,42,Mestrado,5.0,5.0,98,Ativo,2,Sim
EMP_1165,Funcionário 165,Recursos Humanos,Gerente de RH,"R$ 3990,00",19/03/2018,Feminino,54,Pós-Graduação,4.0,1.0,10,Desligado,6,Sim
EMP_1166,Funcionário 166,Vendas,SDR,"R$ 12608,00",21/08/2022,Masculino,41,Mestrado,2.0,,14,Desligado,40,Sim
EMP_1167,Funcionário 167,TI,Arquiteto de Soluções,"R$ 5877,00",2022-11-13,Feminino,53,Pós-Graduação,5.0,3.0,16,Desligado,47,Sim
EMP_1168,Funcionário 168,Recursos Humanos,Gerente de RH,"R$ 7456,00",19/06/2021,Feminino,53,Pós-Graduação,3.0,,20,Desligado,50,Sim
EMP_1169,Funcionário 169,Financeiro,Tesoureiro,,20/02/2015,Não informado,52,Graduação,2.0,1.0,41,Ativo,27,Não
EMP_1170,Funcionário 170,TI,Desenvolvedor,"R$ 4956,00",04/01/2017,Não informado,55,Pós-Graduação,4.0,,99,Desligado,21,Sim
EMP_1171,Funcionário 171,Financeiro,Contador,"R$ 6287,00",18/04/2023,Feminino,51,Graduação,4.0,2.0,0,Desligado,2,Sim
EMP_1172,Funcionário 172,Financeiro,Contador,"R$ 14361,00",06/01/2015,Feminino,46,Mestrado,3.0,5.0,62,Ativo,10,Não
EMP_1173,Funcionário 173,Recursos Humanos,Analista de RH,"R$ 11515,00",21/02/2020,Masculino,27,Doutorado,5.0,4.0,72,Ativo,28,Sim
EMP_1174,Funcionário 174,Vendas,Gerente de Vendas,"R$ 8161,00",01/04/2023,Masculino,50,Graduação,1.0,2.0,13,Ativo,29,Não
EMP_1175,Funcionário 175,TI,Suporte Técnico,"R$ 8870,00",16/06/2018,Masculino,29,Graduação,3.0,5.0,41,Ativo,6,Sim
EMP_1176,Funcionário 176,TI,Suporte Técnico,"R$ 14094,00",2016-12-13,Masculino,47,Mestrado,5.0,2.0,13,Ativo,8,Sim
EMP_1177,Funcionário 177,Recursos Humanos,Analista de RH,"R$ 9563,00",25/03/2022,Masculino,59,Graduação,1.0,,82,Desligado,9,Sim
EMP_1178,Funcionário 178,T.I.,Desenvolvedor,10552,10/11/2019,Outro,47,Graduação,4.0,2.0,23,Desligado,18,Não
EMP_1179,Funcionário 179,Vendas,Consultor de Vendas,"R$ 13108,00",15/08/2019,Não informado,52,Graduação,,2.0,82,Ativo,41,Sim
EMP_1180,Funcionário 180,Marketing,Designer,"R$ 11921,00",05/05/2021,Masculino,46,Pós-Graduação,1.0,2.0,7,Desligado,34,Não
EMP_1181,Funcionário 181,Financeiro,Analista Financeiro,"R$ 4640,00",25/12/2020,Outro,25,Graduação,2.0,4.0,22,Ativo,38,Não
EMP_1182,Funcionário 182,Operações,Logística,12692,14/05/2021,Não informado,58,Ensino Médio,4.0,2.0,11,Ativo,15,Sim
EMP_1183,Funcionário 183,Recursos Humanos,Assistente,"R$ 8435,00",18/06/2016,Feminino,33,Doutorado,3.0,,90,Ativo,50,Sim
EMP_1184,Funcionário 184,Financeiro,Contador,"R$ 9120,00",28/07/2021,Não informado,41,Pós-Graduação,2.0,4.0,22,Desligado,15,Sim
EMP_1185,Funcionário 185,Marketing,Social Media,"R$ 7825,00",15/11/2022,Outro,47,Doutorado,5.0,,28,Ativo,32,Sim
EMP_1186,Funcionário 186,TI,Arquiteto de Soluções,"R$ 8682,00",30/12/2015,Outro,43,Pós-Graduação,3.0,1.0,100,Ativo,47,Sim
EMP_1187,Funcionário 187,Recursos Humanos,Gerente de RH,"R$ 9875,00",12/07/2020,Feminino,44,Graduação,1.0,5.0,57,Ativo,3,Não
EMP_1188,Funcionário 188,Recursos Humanos,Gerente de RH,4715,18/03/2019,Não informado,26,Ensino Médio,1.0,5.0,55,Ativo,39,Não
EMP_1189,Funcionário 189,Vendas,Consultor de Vendas,"R$ 6367,00",19/03/2021,Masculino,56,Mestrado,3.0,1.0,73,Desligado,10,Sim
EMP_1190,Funcionário 190,TI,Desenvolvedor,"R$ 7825,00",21/05/2020,Masculino,23,Pós-Graduação,3.0,4.0,100,Desligado,31,Não
EMP_1191,Funcionário 191,Operações,Operador,"R$ 11914,00",12/04/2019,Feminino,50,Pós-Graduação,,3.0,72,Ativo,10,Sim
EMP_1192,Funcionário 192,Recursos Humanos,Assistente,"R$ 11871,00",20/07/2017,Feminino,46,Mestrado,4.0,4.0,38,Ativo,26,Sim
EMP_1193,Funcionário 193,Financeiro,Tesoureiro,"R$ 12363,00",07/05/2016,Feminino,50,Ensino Médio,2.0,2.0,54,Ativo,44,Não
EMP_1194,Funcionário 194,Vendas,SDR,"R$ 12749,00",02/10/2015,Não informado,57,Ensino Médio,3.0,5.0,100,Desligado,8,Não
EMP_1195,Funcionário 195,Vendas,Consultor de Vendas,"R$ 12546,00",08/03/2016,Outro,28,Mestrado,5.0,4.0,83,Desligado,37,Não
EMP_1196,Funcionário 196,Recursos Humanos,Analista de RH,"R$ 5356,00",2019-07-04,Outro,43,Ensino Médio,1.0,3.0,43,Desligado,20,Não
EMP_1197,Funcionário 197,Marketing,Designer,"R$ 6734,00",20/12/2019,Feminino,42,Mestrado,4.0,1.0,27,Desligado,48,Não
EMP_1198,Funcionário 198,Financeiro,Contador,"R$ 11442,00",16/12/2022,Feminino,30,Graduação,5.0,1.0,25,Ativo,16,Sim
EMP_1199,Funcionário 199,Marketing,Analista de Marketing,"R$ 14544,00",16/03/2020,Não informado,29,Graduação,2.0,5.0,60,Desligado,23,Sim
EMP_1200,Funcionário 200,TI,Arquiteto de Soluções,"R$ 4480,00",29/10/2016,Não informado,35,Doutorado,2.0,3.0,2,Ativo,31,Sim
EMP_1201,Funcionário 201,Operações,Supervisor,"R$ 3138,00",05/06/2018,Outro,39,Graduação,4.0,4.0,59,Desligado,44,Não
EMP_1202,Funcionário 202,Financeiro,Analista Financeiro,"R$ 13852,00",18/04/2021,Outro,60,Pós-Graduação,1.0,3.0,35,Desligado,42,Não
EMP_1203,Funcionário 203,Vendas,Consultor de Vendas,"R$ 6937,00",31/12/2023,Outro,47,Pós-Graduação,2.0,4.0,53,Desligado,25,Sim
EMP_1204,Funcionário 204,Financeiro,Tesoureiro,"R$ 6111,00",12/09/2022,Feminino,52,Pós-Graduação,3.0,2.0,12,Desligado,9,Não
EMP_1205,Funcionário 205,Operações,Logística,"R$ 5999,00",04/05/2022,Outro,44,Pós-Graduação,3.0,3.0,74,Desligado,30,Sim
EMP_1206,Funcionário 206,Marketing,Analista de Marketing,"R$ 12561,00",18/04/2020,Masculino,54,Graduação,4.0,4.0,17,Ativo,22,Não
EMP_1207,Funcionário 207,Financeiro,Contador,"R$ 14725,00",24/09/2018,Outro,33,Graduação,1.0,,97,Ativo,37,Sim
EMP_1208,Funcionário 208,Marketing,Analista de Marketing,"R$ 10105,00",09/05/2020,Feminino,24,Ensino Médio,3.0,3.0,86,Ativo,41,Sim
EMP_1209,Funcionário 209,Vendas,SDR,"R$ 8113,00",08/08/2021,Outro,26,Mestrado,3.0,4.0,87,Ativo,22,Não
EMP_1210,Funcionário 210,TI,Desenvolvedor,9609,21/06/2016,Não informado,23,Pós-Graduação,2.0,1.0,98,Ativo,39,Sim
EMP_1211,Funcionário 211,Operações,Supervisor,3323,25/12/2019,Outro,57,Mestrado,2.0,1.0,84,Ativo,43,Não
EMP_1212,Funcionário 212,Financeiro,Tesoureiro,"R$ 9862,00",23/01/2023,Feminino,40,Pós-Graduação,1.0,5.0,66,Ativo,23,Não
EMP_1213,Funcionário 213,T.I.,Desenvolvedor,"R$ 11132,00",22/05/2020,Masculino,22,Doutorado,,,85,Desligado,10,Sim
EMP_1214,Funcionário 214,Financeiro,Analista Financeiro,"R$ 4659,00",14/02/2020,Feminino,40,Ensino Médio,1.0,,37,Desligado,44,Não
EMP_1215,Funcionário 215,Marketing,Designer,3751,04/04/2022,Outro,44,Pós-Graduação,5.0,1.0,23,Ativo,26,Não
EMP_1216,Funcionário 216,Marketing,Social Media,"R$ 14303,00",11/04/2022,Masculino,32,Mestrado,1.0,2.0,75,Desligado,37,Não
EMP_1217,Funcionário 217,Vendas,SDR,"R$ 8875,00",26/02/2023,Não informado,30,Ensino Médio,4.0,4.0,8,Desligado,42,Não
EMP_1218,Funcionário 218,Recursos Humanos,Assistente,"R$ 11598,00",03/05/2021,Feminino,43,Mestrado,5.0,,44,Desligado,10,Sim
EMP_1219,Funcionário 219,Recursos Humanos,Assistente,"R$ 11283,00",08/11/2016,Feminino,53,Doutorado,3.0,1.0,82,Desligado,26,Sim
EMP_1220,Funcionário 220,Recursos Humanos,Gerente de RH,"R$ 12388,00",06/01/2020,Masculino,53,Doutorado,1.0,4.0,70,Ativo,6,Não
EMP_1221,Funcionário 221,Financeiro,Tesoureiro,"R$ 14001,00",11/08/2015,Não informado,51,Ensino Médio,5.0,3.0,12,Ativo,1,Não
EMP_1222,Funcionário 222,TI,Arquiteto de Soluções,"R$ 7783,00",2016-03-11,Feminino,32,Graduação,4.0,5.0,15,Desligado,14,Não
EMP_1223,Funcionário 223,Vendas,SDR,9790,16/07/2022,Não informado,50,Ensino Médio,5.0,2.0,67,Ativo,36,Não
EMP_1224,Funcionário 224,Financeiro,Contador,"R$ 5903,00",09/06/2016,Não informado,60,Doutorado,3.0,4.0,88,Ativo,18,Não
EMP_1225,Funcionário 225,TI,Suporte Técnico,"R$ 5185,00",24/05/2023,Feminino,57,Doutorado,5.0,2.0,91,Desligado,44,Não
EMP_1226,Funcionário 226,Operações,Supervisor,"R$ 13651,00",31/01/2021,Não informado,42,Doutorado,3.0,5.0,36,Desligado,1,Sim
EMP_1227,Funcionário 227,Recursos Humanos,Gerente de RH,13981,23/10/2023,Feminino,40,Doutorado,2.0,3.0,4,Desligado,29,Sim
EMP_1228,Funcionário 228,Financeiro,Tesoureiro,"R$ 6675,00",31/08/2017,Não informado,40,Pós-Graduação,1.0,4.0,70,Ativo,1,Não
EMP_1229,Funcionário 229,Vendas,SDR,"R$ 10259,00",26/11/2022,Feminino,45,Pós-Graduação,5.0,2.0,57,Ativo,44,Sim
EMP_1230,Funcionário 230,Vendas,Consultor de Vendas,"R$ 4955,00",29/03/2021,Não informado,32,Graduação,3.0,,5,Ativo,21,Sim
EMP_1231,Funcionário 231,Operações,Logística,"R$ 7934,00",06/01/2019,Feminino,42,Mestrado,2.0,5.0,69,Desligado,6,Não
EMP_1232,Funcionário 232,Vendas,Consultor de Vendas,"R$ 8424,00",10/06/2023,Não informado,52,Graduação,1.0,3.0,82,Ativo,3,Não
EMP_1233,Funcionário 233,Marketing,Analista de Marketing,,18/10/2020,Outro,45,Graduação,5.0,1.0,41,Ativo,7,Sim
EMP_1234,Funcionário 234,Financeiro,Tesoureiro,"R$ 4072,00",23/05/2017,Masculino,49,Graduação,2.0,4.0,3,Desligado,46,Não
EMP_1235,Funcionário 235,Recursos Humanos,Analista de RH,"R$ 5916,00",13/06/2021,Outro,38,Ensino Médio,4.0,4.0,49,Ativo,35,Sim
EMP_1236,Funcionário 236,Operações,Logística,12594,05/01/2019,Não informado,28,Mestrado,3.0,3.0,50,Ativo,31,Sim
EMP_1237,Funcionário 237,Financeiro,Analista Financeiro,"R$ 9406,00",23/04/2018,Feminino,31,Ensino Médio,3.0,1.0,5,Ativo,37,Não
EMP_1238,Funcionário 238,Financeiro,Tesoureiro,"R$ 7992,00",21/02/2023,Feminino,48,Doutorado,5.0,2.0,32,Ativo,8,Sim
EMP_1239,Funcionário 239,Operações,Logística,"R$ 11992,00",05/04/2018,Outro,38,Graduação,5.0,3.0,85,Ativo,7,Não
EMP_1240,Funcionário 240,Financeiro,Analista Financeiro,"R$ 8206,00",24/05/2022,Não informado,59,Graduação,5.0,3.0,0,Desligado,16,Sim
EMP_1241,Funcionário 241,Operações,Logística,"R$ 7533,00",22/03/2023,Masculino,52,Graduação,3.0,4.0,82,Ativo,18,Sim
EMP_1242,Funcionário 242,Financeiro,Analista Financeiro,13266,18/03/2015,Feminino,23,Ensino Médio,5.0,5.0,70,Desligado,35,Não
EMP_1243,Funcionário 243,Operações,Supervisor,"R$ 6658,00",06/04/2018,Feminino,54,Doutorado,4.0,1.0,87,Ativo,49,Sim
EMP_1244,Funcionário 244,Marketing,Analista de Marketing,"R$ 12270,00",03/04/2023,Masculino,44,Pós-Graduação,,2.0,47,Ativo,3,Sim
EMP_1245,Funcionário 245,Financeiro,Contador,,10/04/2022,Feminino,55,Mestrado,3.0,3.0,83,Desligado,24,Sim
EMP_1246,Funcionário 246,Financeiro,Contador,"R$ 6651,00",14/11/2018,Não informado,52,Graduação,1.0,2.0,29,Ativo,33,Não
EMP_1247,Funcionário 247,Vendas,Consultor de Vendas,"R$ 8934,00",31/05/2022,Feminino,43,Doutorado,4.0,4.0,20,Desligado,2,Sim
EMP_1248,Funcionário 248,Recursos Humanos,Analista de RH,"R$ 5639,00",02/06/2021,Masculino,32,Pós-Graduação,2.0,4.0,10,Ativo,29,Não
EMP_1249,Funcionário 249,Marketing,Analista de Marketing,"R$ 9730,00",10/08/2023,Masculino,54,Graduação,3.0,5.0,48,Desligado,9,Sim
EMP_1250,Funcionário 250,Recursos Humanos,Analista de RH,"R$ 11263,00",16/10/2021,Masculino,52,Ensino Médio,5.0,,61,Ativo,39,Sim
